F72,F54,F53,F55,F25,F26,
2238,org/apache/commons/lang3,apache,org/apache/commons/lang3/AnnotationUtilsTest.java,840,true,
2238,org/apache/commons/lang3,apache,org/apache/commons/lang3/AnnotationUtilsTest.java,840,true,
2562,org/apache/commons/lang3,apache,org/apache/commons/lang3/ArrayUtils.java,1117,true,
2562,org/apache/commons/lang3,apache,org/apache/commons/lang3/ArrayUtils.java,1117,true,
2562,org/apache/commons/lang3,apache,org/apache/commons/lang3/ArrayUtils.java,1117,true,
2562,org/apache/commons/lang3,apache,org/apache/commons/lang3/ArrayUtils.java,1117,true,
2562,org/apache/commons/lang3,apache,org/apache/commons/lang3/ArrayUtils.java,1117,true,
2562,org/apache/commons/lang3,apache,org/apache/commons/lang3/ArrayUtils.java,1117,true,
2562,org/apache/commons/lang3,apache,org/apache/commons/lang3/ArrayUtils.java,1117,true,
2562,org/apache/commons/lang3,apache,org/apache/commons/lang3/ArrayUtils.java,1117,true,
2562,org/apache/commons/lang3,apache,org/apache/commons/lang3/ArrayUtils.java,1117,true,
2562,org/apache/commons/lang3,apache,org/apache/commons/lang3/ArrayUtils.java,1117,true,
2562,org/apache/commons/lang3,apache,org/apache/commons/lang3/ArrayUtils.java,1117,true,
2562,org/apache/commons/lang3,apache,org/apache/commons/lang3/ArrayUtils.java,1117,true,
2562,org/apache/commons/lang3,apache,org/apache/commons/lang3/ArrayUtils.java,1117,true,
2562,org/apache/commons/lang3,apache,org/apache/commons/lang3/ArrayUtils.java,1117,true,
2562,org/apache/commons/lang3,apache,org/apache/commons/lang3/ArrayUtils.java,1117,true,
2562,org/apache/commons/lang3,apache,org/apache/commons/lang3/ArrayUtils.java,1117,true,
2562,org/apache/commons/lang3,apache,org/apache/commons/lang3/ArrayUtils.java,1117,true,
2562,org/apache/commons/lang3,apache,org/apache/commons/lang3/ArrayUtils.java,1117,true,
2562,org/apache/commons/lang3,apache,org/apache/commons/lang3/ArrayUtils.java,1117,true,
2562,org/apache/commons/lang3,apache,org/apache/commons/lang3/ArrayUtils.java,1117,true,
2562,org/apache/commons/lang3,apache,org/apache/commons/lang3/ArrayUtils.java,1117,true,
2562,org/apache/commons/lang3,apache,org/apache/commons/lang3/ArrayUtils.java,1117,true,
2562,org/apache/commons/lang3,apache,org/apache/commons/lang3/ArrayUtils.java,1117,true,
